id,brand,line,category_type,created_at
9996a1e9-8d6b-407f-bf99-67b1aa7b3777,Vans,Authentic,Casual,2026-09-12 22:18:14.16577+00
ae3c7b6d-9f24-458e-b60b-54b82eb52a10,Puma,Suede Classic,Casual,2026-09-12 22:18:14.16577+00
45107ab7-1148-4987-9cc3-19b2d71ac520,New Balance,574,Lifestyle,2026-09-12 22:18:14.16577+00
701fe234-1d1c-4b5f-aa16-07fe0f0e64e4,Under Armour,Charged,Running,2026-09-12 22:18:14.16577+00
afc9c920-7821-4104-b13f-19bab480dc38,Nike,Pegasus,Running,2026-09-12 22:18:14.16577+00
e77fc5da-aa38-4105-99c9-cd0d760fd014,Adidas,Runfalcon 3,Running,2026-09-12 22:18:14.16577+00
ce131026-a614-41cc-a060-a1225e5b61d3,Vans,Old Skool,Casual,2026-09-12 22:18:14.16577+00
dc43d7cd-2eba-4ab9-9cd5-11d4049e1c5a,Puma,Future Rider,Lifestyle,2026-09-12 22:18:14.16577+00
a6479cf6-139d-48f4-93c7-449cd48ee159,Nike,Court Vision,Casual,2026-09-12 22:18:14.16577+00
5bd0b651-e1c6-45f2-9713-c8aa06131628,Nike,Air Max 90,Running,2026-09-12 22:18:14.16577+00
e83ccf7b-3716-42b4-9a81-dfd6ad1a8401,Asics,Gel Contend,Running,2026-09-12 22:18:14.16577+00
7a42ab12-171c-4463-8776-a1b3dae8ead9,Adidas,Superstar,Casual,2026-09-12 22:18:14.16577+00
c7e8c81a-5e5d-4b86-a07b-e1d9607d36db,Converse,Chuck Taylor,Casual,2026-09-12 22:18:14.16577+00
516b10ac-a018-4421-aaf6-45e46924e867,Adidas,Ultraboost,Running,2026-09-12 22:18:14.16577+00
f1697bb0-b427-477c-bf7b-ec28d1e77604,Fila,Disruptor II,Lifestyle,2026-09-12 22:18:14.16577+00
2da50d64-2a14-4d99-bd8b-7328aa6dacd3,Reebok,Club C 85,Casual,2026-09-12 22:18:14.16577+00
95fe942b-66f4-4b3a-a3f6-92e3c792f0de,Puma,Smash v2,Casual,2026-09-12 22:18:14.16577+00
60c4d1ae-5cdb-468e-b504-64cd25fc0b3b,Nike,Revolution 7,Running,2026-09-12 22:18:14.16577+00
b4626a32-f503-405f-9b88-4742f9f31eb4,New Balance,Fresh Foam,Running,2026-09-12 22:18:14.16577+00
f560a02f-42b5-4644-8d11-1b59e2d80ac8,Converse,Run Star,Lifestyle,2026-09-12 22:18:14.16577+00
