id,category_id,sku,name,size,price,min_stock,max_stock,created_at,updated_at,cost
83a346fc-243c-469e-8330-761330c82b4d,7a42ab12-171c-4463-8776-a1b3dae8ead9,ZAP-008,Adidas Superstar,40,329.00,6,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,195.00
6047399e-9e69-4ec1-9211-14e80b1acb4c,516b10ac-a018-4421-aaf6-45e46924e867,ZAP-017,Adidas Ultraboost,42,599.00,5,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,360.00
8ce79e63-3c92-40d1-95ef-c2168931ec50,e83ccf7b-3716-42b4-9a81-dfd6ad1a8401,ZAP-010,Asics Gel Contend,41,219.00,5,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,130.00
d0fb53dc-1a72-4d7e-850a-5f9121585080,c7e8c81a-5e5d-4b86-a07b-e1d9607d36db,ZAP-004,Converse Chuck Taylor,39,249.00,5,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,150.00
1d40ad8e-3e73-4b40-812d-f7d773de83f1,f560a02f-42b5-4644-8d11-1b59e2d80ac8,ZAP-018,Converse Run Star,38,289.00,5,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,170.00
2510386c-834b-4522-ad96-6b1d333eaabf,f1697bb0-b427-477c-bf7b-ec28d1e77604,ZAP-011,Fila Disruptor II,39,249.00,5,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,145.00
b57ea25e-3624-42a0-8bf9-d49ff1a58235,45107ab7-1148-4987-9cc3-19b2d71ac520,ZAP-005,New Balance 574,43,349.00,10,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,210.00
04deb6c9-5c4f-4456-a207-bfacf997b4ba,b4626a32-f503-405f-9b88-4742f9f31eb4,ZAP-015,New Balance Fresh Foam,44,399.00,4,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,240.00
39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,5bd0b651-e1c6-45f2-9713-c8aa06131628,ZAP-001,Nike Air Max 90,42,459.00,15,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,275.00
71b0a0bd-9175-4045-bd7a-d0a99e3c05a1,a6479cf6-139d-48f4-93c7-449cd48ee159,ZAP-013,Nike Court Vision,40,219.00,7,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,130.00
c84dfe93-56b7-47b0-bfa5-b7042144499d,afc9c920-7821-4104-b13f-19bab480dc38,ZAP-019,Nike Pegasus,41,459.00,10,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,275.00
f7672329-a8c9-47c8-9a27-fd16e3757749,60c4d1ae-5cdb-468e-b504-64cd25fc0b3b,ZAP-007,Nike Revolution 7,44,199.00,12,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,120.00
f0b118d6-1342-4c43-839e-f87155ee6404,dc43d7cd-2eba-4ab9-9cd5-11d4049e1c5a,ZAP-014,Puma Future Rider,42,259.00,5,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,155.00
49ce1de5-64a6-4f6f-93fc-17ca3328f7bf,95fe942b-66f4-4b3a-a3f6-92e3c792f0de,ZAP-003,Puma Smash v2,41,189.00,8,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,110.00
0658ec1b-9bdb-4723-93d5-dc9b985b0861,ae3c7b6d-9f24-458e-b60b-54b82eb52a10,ZAP-020,Puma Suede Classic,40,259.00,12,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,155.00
703298b0-3e3a-497d-8400-d9331851aa16,2da50d64-2a14-4d99-bd8b-7328aa6dacd3,ZAP-009,Reebok Club C 85,42,289.00,6,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,170.00
347067c6-cb0c-444a-b03a-601033abdbf0,701fe234-1d1c-4b5f-aa16-07fe0f0e64e4,ZAP-012,Under Armour Charged,43,229.00,4,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,135.00
9d45bdb6-4d9e-4912-a63a-6475a883b20f,9996a1e9-8d6b-407f-bf99-67b1aa7b3777,ZAP-016,Vans Authentic,37,189.00,6,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,110.00
218ac221-d79d-4377-bfaa-8b5209e1b9ba,ce131026-a614-41cc-a060-a1225e5b61d3,ZAP-006,Vans Old Skool,38,259.00,7,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:40:46.322066+00,155.00
1695d635-d16a-4051-975b-f20b042e76cf,e77fc5da-aa38-4105-99c9-cd0d760fd014,ZAP-002,Adidas Runfalcon 3,40,219,10,null,2026-09-12 22:18:14.16577+00,2026-09-13 21:58:09.9801+00,140
422de90c-e618-4332-9ef7-041b3701e4f9,e77fc5da-aa38-4105-99c9-cd0d760fd014,ZAP-021,Adidas Runfalcon 2,40,199,10,null,2026-09-13 22:00:41.755327+00,2026-09-13 22:01:15.615159+00,120
